Address,City,EOAddress,Electorate,Email,Fax,First name,Gender,House,LastName,LastUpdated,MinAddress,MinPhone,Minister,POAddress,POstcode,Party,PartyAbb,Phone,Photo,Political Party,Name,Position,PreferredName,Salutation,State,Surname,Title,Web,images,﻿Full Name
4 Treasury Place,East Melbourne,,East Melbourne,,,Steph,Female,,,,,,,,3002,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/YJAbCv_ApriRGdm45VQPCA/Bn8z7hd7RJbvEiCnSsjSQYBGGPM19AWLao5Oq8Dz6JIwCHcn-n1gxOkSuNjy4badl-wlBpd0E0IY4t4-dzV2DW_T1aq3pj7Sr3jdpa0SKgLn1yE1VJnkVDNY6ijXky2ZWg_X66QePZ_zVnukl-xVvg/qiUDT6h6l_kesZwJ7U7kw5wlAh8_efGeu8nAqo3P7pc),AG,Senator,,,Senator,VIC,Hodgins-May,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/YJAbCvApriRGdm45VQPCA/Bn8z7hd7RJbvEiCnSsjSQYBGGPM19AWLao5Oq8Dz6JIwCHcnn1gxOkSuNjy4badlwlBpd0E0IY4t4dzV2DWT1aq3pj7Sr3jdpa0SKgLn1yE1VJnkVDNY6ijXky2ZWgX66QePZzVnuklxVvg/qiUDT6h6lkesZwJ7U7kw5wlAh8efGeu8nAqo3P7pc', 'type': None}]",Steph Hodgins-May
GPO Box 896,Hobart,,Hobart,,,Nicholas,Male,,,,,,,,7000,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/GkIvQljfOgozkGtYkZfwLA/ZozbE7wojB0w3aTAfmsK_bo0qhZi4UdBPcAYly3-VLfKy0LanLAT1YyHLRwULpCTLITzeuvP51CvU1bTSVi8iMAohE30qo5Ki70MTRVRaxWGfLjhW5pT_BxbBL9-7g8ElTdiC5IlgiKpMfbFqhZk0Q/ZfDpSyLFp3bdWRUMp03a_S-1zVa-ArkncuSf4LMhOv0),AG,Senator,Australian Greens Whip,,Senator,TAS,McKim,Senator,,,Nicholas McKim
"Level 1, 110 King William Road",Goodwood,,Goodwood,,,Barbara,Female,,,,,,,,5034,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/_CJIFxVPjbzNolRZTdTjiQ/9RRVKb1QImi-KYbTu7qzCJIchXOBy4-5GjpABr2arLeEjDMHxrW-bkfXcXbmS63Tr5ZgAFExntyA7CE9hAKQZqIauEaoBlhlAGE3STX3ZiFzNbNNMOeHqWnu3TpMtzcuo_u5fQ4jofJ6kVA5iEsdKg/CT7-4-I1aqg3_p-13TcPkkeK5TzMDwoEbq9wY_QTqz0),AG,Senator,,,Senator,SA,Pocock,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/CJIFxVPjbzNolRZTdTjiQ/9RRVKb1QImiKYbTu7qzCJIchXOBy45GjpABr2arLeEjDMHxrWbkfXcXbmS63Tr5ZgAFExntyA7CE9hAKQZqIauEaoBlhlAGE3STX3ZiFzNbNNMOeHqWnu3TpMtzcuou5fQ4jofJ6kVA5iEsdKg/CT74I1aqg3p13TcPkkeK5TzMDwoEbq9wYQTqz0', 'type': None}]",Barbara Pocock
"Suite 201, Level 2, 1A Lawson Square",Redfern,,Redfern,,,David,Male,,,,,,,,2016,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/Mhw-3rRUxV3ioJ8jZCTupA/swlAnuXNs40VTb25vdnRPbN-9RPla4TrQKPPmV3o49JdBzUruM_LnvgstcB1OhOaFDS8a8errsWVqcvOO23QC3vvgWLfahByVz0q1vwFWh7QcrPweAQTb7Mrjg3R33RZLZmfDQRLtJWfb2-rgxs1zw/-deTPkrYuIkOm8p9lutAVAKwvQvbVs0jPAOxuMILamw),AG,Senator,,,Senator,NSW,Shoebridge,Senator,,,David Shoebridge
"Office 1.19, Level 1, 140 William Street",Perth,,Perth,,,Jordon,Male,,,,,,,,6000,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/bGdLZTEi68WN_-bAhak9Dg/vwI-VWQq_e4WL2v8b6S6uU3ofZSz6SVs8NNk2hHDbZGUsftzWKRIOIJtuN2gGwqODnzz3BXs0T90u-SMwSddRRHJFAOTxk-LLRSQ29Y_BS7kprrFuAyToNN-SwF9dVafxGvWKvXBGf5WbXfeIdB9OQ/oseXSXNwy5bjRMjLDTbhcOpv1H1AtZt4shKswOijzEw),AG,Senator,,,Senator,WA,Steele-John,Senator,,,Jordon Steele-John
Locked bag 3004,Paddington,,Paddington,,,Larissa,Female,,,,,,,,4064,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/FOTNJNKRRFxs5GNEGwWi0g/hPWQ3ZxCwNwUtopuNtoIIVdoEeITi0xx5V1hhSkBiw3mfD7suqdXNQXAS5mnAv8hkT-b8jrXr9TZb52PT8al9XZ6wk47CwwaczIiqKD-UPh_GGZpNF6OwjwySI1fGPEMpU317uqw2jJSursZjf9NdQ/c-cyqE2mZsuUlVux-Q7gUHMqtY63gE7JRc_hUQ4Zj5A),AG,Senator,Leader of the Australian Greens in the Senate,,Senator,QLD,Waters,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/FOTNJNKRRFxs5GNEGwWi0g/hPWQ3ZxCwNwUtopuNtoIIVdoEeITi0xx5V1hhSkBiw3mfD7suqdXNQXAS5mnAv8hkTb8jrXr9TZb52PT8al9XZ6wk47CwwaczIiqKDUPhGGZpNF6OwjwySI1fGPEMpU317uqw2jJSursZjf9NdQ/ccyqE2mZsuUlVuxQ7gUHMqtY63gE7JRchUQ4Zj5A', 'type': None}]",Larissa Waters
PO Box 5194,Launceston,,Launceston,,,Peter,Male,,,,,,,,7250,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/fLDUCaARcjEgvIoIq6nNBQ/WTASPNS6HEio0sTnAb2cYs4dik8oXwu1eu-F5B4lMdBLFfT0x_8dctJOYwNHEysjE-pVWOjRYDsFYH4gwsdCgB4aZyfWBDkOPdtlOT-8J5Wl4NVjLFwidRJK36BJ4NR9HDFTIW-7UyrflFcDbAyFVg/34dgXB0IxJMW5kLNXUqDpx_W7y0QFXS8v_LYjWypdYs),AG,Senator,,,Senator,TAS,Whish-Wilson,Senator,,,Peter Whish-Wilson
PO Box 3306,Redfern,,Redfern,,,Timothy,Male,,,,,,,,2016,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/tYSV8ahYkeTGRxrZuaR7CA/pW3R4KtHFvI_NMcj1-KriA8wJAdLaU7j5LKw6_5-s0qAgBtL9AsncfITuvyX4wVnGiYJGuObZuBP5ETR0lN2RcYpYjFTMrh2L57msjEucaz6q1RasYgQY4mq9san8FPXA99gwz2m112x3XJVH_jrDg/fUVzbYrFlO2m51s9wwkUedueOVEtKp0lPDQxLKRGiSs),ALP,Senator,Assistant Minister for Trade; Assistant Minister for a Future Made in Australia Senator the Hon(Deputy Leader,,Senator,NSW,Ayres,Senator the Hon,,,Timothy Ayres
PO Box 320,Kingston,,Kingston,,,Catryna,Female,,,,,,,,7050,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/cYiNMRrTWU4Da3JLYEUvoA/HqPFrEIGueD99hutL62u2qUB93kec7LYDkefNyg5lzIg30oPGztfMQD38mvNAdFb48nLl1v5asKC9DmgNY7-CM0r8xophx44OAqHvdDgjjBZbLTaT4uo-CUoNNgCpZ-Wcv0nzH9K-4S0HL95inF2Mw/OIFoT2wgRbC7XOsi4dgOxUY0P4vMjMo35stJVggMyJI),ALP,Senator,,,Senator,TAS,Bilyk,Senator,,,Catryna Bilyk
GPO Box 376,Hobart,,Hobart,,,Carol,Female,,,,,,,,7000,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/DL_batP4fHDGIUnl8GXidQ/v6QOv7Xm8BO8AZvLZoa7t5hjuKEEgjG_qlo6BjCGrYHZuO1dQw6jMS7vi5xZX-9wzr_yRQBdduDQmIeE50pimEPUuDXyRDjT2IrdWbphGT5jqVy83PfpTW9ElhxbWJi5dYpmTb3DMaDcTMuNkJB30w/2nb2xzTmHrxp4PAHptXk3Y1IPEiiSvHHbCntIMB8mzs),ALP,Senator,,,Senator,TAS,Brown,Senator the Hon,,,Carol Brown
PO Box 1117,North Lakes,,North Lakes,,,Anthony,Male,,,,,,,,4509,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/2HJnofadHH_m865lwXoFEg/2oGy3Mbg5iVhx3O9LUg1Cb9tpWBwR-dKafshL6pvfa70xMXs128-h9ZOweZdD_nsDzAAJMHeTqj6BVA1Lmjy4dJNE0BT26NCJ6jR9d-YBUWqiCL0yFW0jJbSlL1xCxoxvrZPyR1MK3BDnefKSgSFTg/8YgUU1DhesmUyoMMaU6-5o24-Vbic8Gr2LQLHqDvjPM),ALP,Senator,"Assistant Minister for Education; Assistant Minister for Regional Development; Assistant Minister for Agriculture, Fisheries and Forestry (Deputy Manager of Government Business in the Senate)",,Senator,QLD,Chisholm,Senator the Hon,,,Anthony Chisholm
1A Blackburn Road,Blackburn,,Blackburn,,,Raffaele,Male,,,,,,,,3130,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/yDigskdxZgWueFnTWXRi-g/F8e4JmtmbYNSgwwL7B1hmnqFzCLxSmbWoNIwU1fUF9iP8VOsWz31ndoeKSlPQlQ992AIO8M0PnshLiN5ifo_-ekID5jwZwe8BwteCIOE1ZLLi3loibwUoXhwA3VOF5FYalB2A8ExmOwIPHEAYFABng/5Ain3ufCesluL3oEVCIsZ2NB3thTE-ZrTkf1Up5E7iY),ALP,Senator,Deputy Government Whip in the Senate,,Senator,VIC,Ciccone,Senator,,,Raffaele Ciccone
"Level 3 North, 4 Treasury Place",East Melbourne,,East Melbourne,,,Lisa,Female,,,,,,,,3002,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/T92IjLFrfPzDWk5Bb3KJMw/6vRY-XaAHkXOavHKSd1kY2CU0P1O1HxqrLszRHcJGYjefnq0QIRRW-gyJQ9tenHLvK9B-pazPAxm7y7jVwn7eh-eERgg3z1wKWwRZKCqf18eLBx2OEfd3GQvb-EteuujMGmpRQcXc82Df9Ooc3K2VQ/fl7CDNCvrWt8GgNSKO7_Oyyp6SiIKdOTkMt4rFlbUjU),ALP,Senator,,,Senator,VIC,Darmanin,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/T92IjLFrfPzDWk5Bb3KJMw/6vRYXaAHkXOavHKSd1kY2CU0P1O1HxqrLszRHcJGYjefnq0QIRRWgyJQ9tenHLvK9BpazPAxm7y7jVwn7eheERgg3z1wKWwRZKCqf18eLBx2OEfd3GQvbEteuujMGmpRQcXc82Df9Ooc3K2VQ/fl7CDNCvrWt8GgNSKO7Oyyp6SiIKdOTkMt4rFlbUjU', 'type': None}]",Lisa Darmanin
PO Box 6338,Halifax Street,,Adelaide,,,Donald,Male,,,,,,,,5000,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/T_AAw_62KUGDfmILGuhI7w/N8vLkU-69xKqwBolAnCnP8UuWvI0YgtyYbREUoijmHKvOZoYMQXmGwm0QNne-LSN2we6FWK64qPWSyX9pascbBIaYtaRTBLumDZNEHD1cIp2Y3COR3n-fvJPHIYZBOIYTcCHy8dUFpaSxKzZzrftYg/8Ayy7Uap3R0o3uafWTB1JHOjJyEeJZ46ng_Bfmd2azc),ALP,Senator,Minister for Trade and Tourism; Special Minister of State (Deputy Leader of the Government in the Senate),,Senator,SA,Farrell,Senator the Hon,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/TAAw62KUGDfmILGuhI7w/N8vLkU69xKqwBolAnCnP8UuWvI0YgtyYbREUoijmHKvOZoYMQXmGwm0QNneLSN2we6FWK64qPWSyX9pascbBIaYtaRTBLumDZNEHD1cIp2Y3COR3nfvJPHIYZBOIYTcCHy8dUFpaSxKzZzrftYg/8Ayy7Uap3R0o3uafWTB1JHOjJyEeJZ46ngBfmd2azc', 'type': None}]",Donald Farrell
"Unit 3, 40 Corinna Street",Phillip,,Phillip,,,Katherine,Female,,,,,,,,2601,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/IPyjTYe0dDT2OdX1_zfimg/vg3pLjx4mv1b-AMb62q1KKnb2r3bobLGQueEyJbj8Dn7q5Y5hlZasQbHB-fQ9Sx-SNjNw_XrYvA76XXaUZwqKMMPFj9_sdHvDr65reHDxHYDKjvYybW18Z_mBDTdKgBQDKazM-Pa9p0pYiA5acqbVw/CvLQsWrZ-GwRtFt9JwspbShc8IutypdDH3eCjRMCnqM),ALP,Senator,Minister for the Public Service; Minister for Finance; Minister for Women (Vice-President of the Executive Council and Manager of Government Business in the Senate),,Senator,ACT,Gallagher,Senator the Hon,,,Katherine Gallagher
GPO Box B58,Perth,,Perth,,,Varun,Male,,,,,,,,6000,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/0MIXtP-tmCFPt0ywegd5TA/ov1xOa10z1vSd2Ghw77d8UOzlk3CmRN0irhqZf-mSUgQJPIYtGwrHA3_bASM91jphSAu6qTFS8QmRfoNd853sPyJolP_x00dFGiAo_7nZ3Y4EB6zDOkrZ1aXeNjowk9g8hfpjKOL6lBkmppQ_5ENBg/ryWxhLRea4XT00IwbTOf8uq4WOpWNelciwDd2AKbkIU),ALP,Senator,,,Senator,WA,Ghosh,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/0MIXtPtmCFPt0ywegd5TA/ov1xOa10z1vSd2Ghw77d8UOzlk3CmRN0irhqZfmSUgQJPIYtGwrHA3bASM91jphSAu6qTFS8QmRfoNd853sPyJolPx00dFGiAo7nZ3Y4EB6zDOkrZ1aXeNjowk9g8hfpjKOL6lBkmppQ5ENBg/ryWxhLRea4XT00IwbTOf8uq4WOpWNelciwDd2AKbkIU', 'type': None}]",Varun Ghosh
PO Box 4716,Cairns Post Shop,,Cairns,,,Nita,Female,,,,,,,,4870,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/yxVujiuqKfTneS0-4cylTg/-AdwJd312KjqpUN1_V0WLCoU52JqxPz2ISo64XOfaarnvlYpqOIFJ4RsuLfwdj6dxUdGUGOqx_Ndp0qyyNumjiHD76HF1H_mP8Cqe1lNB5hKaA378N_v9ZQ4fJu6jSGIMCMgbwdC-ChqYMRLq2QdzQ/wbaU83Rb-9njnQzbnp4hh2-iliJw-pKPndtzpiZXFH4),ALP,Senator,,,Senator,QLD,Green,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/yxVujiuqKfTneS04cylTg/AdwJd312KjqpUN1V0WLCoU52JqxPz2ISo64XOfaarnvlYpqOIFJ4RsuLfwdj6dxUdGUGOqxNdp0qyyNumjiHD76HF1HmP8Cqe1lNB5hKaA378Nv9ZQ4fJu6jSGIMCMgbwdCChqYMRLq2QdzQ/wbaU83Rb9njnQzbnp4hh2iliJwpKPndtzpiZXFH4', 'type': None}]",Nita Green
265 Churchill Road,Prospect,,Prospect,,,Karen,Female,,,,,,,,5082,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/jWVFUobRlZf8rpTwKfdgoA/3r16-o71k5aIGdu5x8jOwtiWOcTLDrMOEDXiqsyTa8g6Iek1d3iipgUigl7Ku3Bu5uY11ujnrtXSJJI07DxossBuDMT7R6tSuBwaoYHyvKu1cNAWT426tX7reBYFH-BlnpLb2K95_fF9ae0HXz9v_Q/0YFMt-mhD_nEO45bZN7KQ7v4a6g2NRhiFM2bt_fil4k),ALP,Senator,Deputy Government Whip in the Senate,,Senator,SA,Grogan,Senator,,,Karen Grogan
PO Box 1322,West Perth,,West Perth,,,Susan,Female,,,,,,,,6005,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/ejYCMzMF8wlEdP8OnEP3Hg/wSRugPefif-0xkHBLpD9imhdOKj7crYlljkRlkffLZcJOx8_9AFdu9RLwIAQj5VuKv3AgJC8lKqqFO2jzh4aOBCLDck2GncK1G3MlBZ2mvL6OZs2GPR0yVddbqUKFz46cOqwl-cfysnu_qoLtNc7gQ/hStoDMjSPuSOjG87uStZfuAAbIGplFF9rSHB_px1MfY),ALP,Senator,President of the Senate,,Senator,WA,Lines,Senator the Hon,,,Susan Lines
"Suite 501, Level 5, 54-66 Wentworth Avenue",Surry Hills,,Surry Hills,,,Jennifer,Female,,,,,,,,2010,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/2oBhNcBCpfATZy3jER5c5Q/lEVgv4EIbkpw9WkZHEPuCDMDaWsUM0ulel4D57NQX3PG--xH433bywqjnqPogY-8-G3o9TKTNTbB0RXkLMw085dRGB3RwreIPOxIZunZJc0rRIjAr3GzhYjVRbKOS-XggEDXTnnmOIC7rrk29SPvvA/Z-L6Sy6hgDuiXF3YeE91fuWzLhTaY4Lb9qyfUcTa26k),ALP,Senator,Minister for Emergency Management; Minister for Cities,,Senator,NSW,McAllister,Senator the Hon,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/2oBhNcBCpfATZy3jER5c5Q/lEVgv4EIbkpw9WkZHEPuCDMDaWsUM0ulel4D57NQX3PGxH433bywqjnqPogY8G3o9TKTNTbB0RXkLMw085dRGB3RwreIPOxIZunZJc0rRIjAr3GzhYjVRbKOSXggEDXTnnmOIC7rrk29SPvvA/ZL6Sy6hgDuiXF3YeE91fuWzLhTaY4Lb9qyfUcTa26k', 'type': None}]",Jennifer McAllister
PO Box 1596,Darwin,,Darwin,,,Malarndirri,Female,,,,,,,,O800,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/Fmgmy49bbRq1GAz0ejngnA/6raDC7eSv2z6sjnBbcCRS0RI6xqwnou3cskEjv4kmYaPTOgLJmQ-5J18UIvOBVHQ2F4EhMsTpqyUFci9GytBWPVj0-lVna4r02Ht_1viCO-id_EbSr1HWLv9NK3KLcDUtDJ05QaTvFwYO1HIntk4ag/sBjX0Pzho1f9PGdfjzo-Cdlx3QcF00kkiHY8CEOfQeI),ALP,Senator,Minister for Indigenous Australians,,Senator,NT,McCarthy,Senator the Hon,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/Fmgmy49bbRq1GAz0ejngnA/6raDC7eSv2z6sjnBbcCRS0RI6xqwnou3cskEjv4kmYaPTOgLJmQ5J18UIvOBVHQ2F4EhMsTpqyUFci9GytBWPVj0lVna4r02Ht1viCOidEbSr1HWLv9NK3KLcDUtDJ05QaTvFwYO1HIntk4ag/sBjX0Pzho1f9PGdfjzoCdlx3QcF00kkiHY8CEOfQeI', 'type': None}]",Malarndirri McCarthy
"Suite 3.12, The Platinum Building, 4 Ilya Avenue",Erina,,Erina,,,Deborah,Female,,,,,,,,2250,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/deeX7xt_gPM7-isegdc9wQ/J7OZJ98dZqaNUKWg2xHTZoOXxWFzuC3c7zmC19Fn36atZxtdBczbukUC3656AVDN3K-T3LrRqm5aSkbodTykPjLJD0VHhKeCU73ItZzRU5z_pYThjLj4wR64HVma9W0kydodQjrlh7OpurAHaBLSFQ/dmqX-y6k3JrqkySxoFjRlU1pTwgLosxHUSRyeKy6p20),ALP,Senator,,,Senator,NSW,O'Neill,Senator,,,Deborah O'Neill
PO Box 1223,Launceston,,Launceston,,,Helen,Female,,,,,,,,7250,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/8_D0mLDgR5kIPbNgM-am8w/B4WZ83dKfGMecPPVoidF7qGoaDmb85zuIoDb_rII615Bu_sR9FFTMSmI-tMr9HtzduujXPjQuIRJo7dz-JZxfnoFZlgjav3f1QLkfDo4wABWgFArwcxmg9wvRTSLpOYhq-X0ERDdVN0mdxV4qGg3Gg/ltvEgo3FZehxBhWdb8sc9wJjbgTaCUdhvS8XXDEhcDE),ALP,Senator,,,Senator,TAS,Polley,Senator,,,Helen Polley
PO Box 531,Belmont,,Belmont,,,Louise,Female,,,,,,,,6104,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/JwfQ5OSDELbeV-_6hxNzGw/09RZaOs3LWR0J8nS83hNJ7lm19m7fNZz70OOSpWMKCy-ZRhWRzJfogHT663h2UON_nHPBAzC9xa6h34ptBH0-8g_irAkJRzf6yXnAqfNWTfRxHC2jy8DfAOb9aSLdnOljp9YjgEG0gIu-gxFBQAS1g/1Ks7EgY_uEwUZNfJFoOqE9BC5n3s3LW7f-c4Crc61P4),ALP,Senator,,,Senator,WA,Pratt,Senator,,,Louise Pratt
"Suite 11.02, Level 11, 66 Goulburn Street",Sydney,,Sydney,,,Anthony,Male,,,,,,,,2000,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/qybj1QjDYKwGagXC_U4asQ/FzDZZ08QbtFHRFTql10nCdq-pzZMunKDnsV02HTauzuW_5bwgFUt3TH1BqiNgbEHHRWrO8HXtxX8fYMQlJfj4fZMkMlF2eoZrFNOYnISD8cSEEbeH1KBuFtM2o1vtuvNHFPPELQOxuppswsA6W0EqQ/YGM1Gbf9j5ktwe-Gq95wlUG_LkTc8SAvVyco_6NgDAE),ALP,Senator,,,Senator,NSW,Sheldon,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/qybj1QjDYKwGagXCU4asQ/FzDZZ08QbtFHRFTql10nCdqpzZMunKDnsV02HTauzuW5bwgFUt3TH1BqiNgbEHHRWrO8HXtxX8fYMQlJfj4fZMkMlF2eoZrFNOYnISD8cSEEbeH1KBuFtM2o1vtuvNHFPPELQOxuppswsA6W0EqQ/YGM1Gbf9j5ktweGq95wlUGLkTc8SAvVyco6NgDAE', 'type': None}]",Anthony Sheldon
T1 10 Park Terrace,Bowden,,Bowden,,,Marielle,Female,,,,,,,,5007,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/9f7z-AwFHeGA7vb4e-bRsA/zi8Ra-LmpWLQHfKX6-Fe8vmzFcq-Xj6nLZ4PYDknAflNdvzXi1DdqKoJk8CxWkQ5tASyMeaiZM7CiGGpA6O3JZ7c6vjX6FKoAYtyaYTUmvQ12QO7kDEKEJcsIFrg_HtS5-WvacF-Yj_NPDPWSsI14g/UsEcvk9VYAYtznxqZGGsTK8qRXrRSZdcB9mbcGSqZs0),ALP,Senator,,,Senator,SA,Smith,Senator,,,Marielle Smith
"Units G2 and G3, 150-152 Riseley Street",Booragoon,,Booragoon,,,Glenn,Male,,,,,,,,6154,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/WfbBKXq-y9l-F-8DjSkQaA/yz7m2zMEsPnLiFoZ34JAclT54c-B60E5bwoqiFWoc31zNi9inT7Rr4Caa2Qo_1d6CKeX9KabwGdZjGxWH26LklOPbG4sSKtQz1yNXpVqms2xhaoDTfbnFO0elGWhNjIEYxaExATGIyXxmM7lLu9zuQ/MK3yVP9Xkc7vGLfAmN8TjExgzkaU1Oh_65_SrQQQA0U),ALP,Senator,,,Senator,WA,Sterle,Senator,,,Glenn Sterle
PO Box 75,Reservoir,,Reservoir,,,Jana,Female,,,,,,,,3073,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/2Seurtoa_LpR3y8OYfmk_g/WgSHmHPHPSPuGB8tdT7bVA6_kacxVLZk7fUd5VHfVLiPcaP11X5gQshuzTwUySJlMcFPZ7mL164mSMtTxLwsz1x81jZ4BnVHZ1FhJd_2NyJ4-SyISFSb-4Aa5_DWPS4fWPNno-BH--krlmyNocfyzw/gxzwC7BNM_W4jCDEZfMQUnowwoBWrTSpMnq8SnEYdcQ),ALP,Senator,,,Senator,VIC,Stewart,Senator,,,Jana Stewart
PO Box 360,Devonport,,Devonport,,,Anne,Female,,,,,,,,7310,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/l2P4zfikOl2fuG-miqVjAg/MPVjjgPqTQShy6MNdJaZdPF2SKxSydMHdO-4bbl9N3wAtT33eTtiS4kmhHjBMyY8Rfmfd4h_cihMyvLQJXJzHkAKZmu9vMpiyrT20NWZPanpr5CZSiykdEu9DlfamIOIyQKKeMj3rKpD2MaNzNe8ow/1-9PgRiPLnHbZi3wSe7wkWXovFpS-spzbQP83qY_lNg),ALP,Senator,Government Whip in the Senate,,Senator,TAS,Urquhart,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/l2P4zfikOl2fuGmiqVjAg/MPVjjgPqTQShy6MNdJaZdPF2SKxSydMHdO4bbl9N3wAtT33eTtiS4kmhHjBMyY8Rfmfd4hcihMyvLQJXJzHkAKZmu9vMpiyrT20NWZPanpr5CZSiykdEu9DlfamIOIyQKKeMj3rKpD2MaNzNe8ow/19PgRiPLnHbZi3wSe7wkWXovFpSspzbQP83qYlNg', 'type': None}]",Anne Urquhart
PO Box 233,Brunswick East,,Brunswick East,,,Jess,Female,,,,,,,,3057,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/6Mro4WeAR9xzyOeOOD7kgQ/3K7kOkdzh5Qm6dKlkIRDm4q0cOR9b2xLU-UnMSQHzHJe3aZ-nxbSfmV6l0Wz54tsPdCt_qDlHsQNqzB7CcAHR8yIkcsSnqavYJtUldrMY-fHJnQgYmbFsejop_fSk54p3pa1o8O-oQFDAeb06jcNiw/UX3sqRiuom3GAGBBCSW_uCjPs8H51-6cRwRtEd-7j3I),ALP,Senator,,,Senator,VIC,Walsh,Senator,,,Jess Walsh
PO Box 310,Southport Business Centre,,Southport,,,Murray,Male,,,,,,,,4215,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/ley8NATHsqa3edRkMij7Tg/fMLjteTMmiBvlhcg1mFPJswvzZlZpqZuu776OwEzHU7XTM5rW-DWoMCL1xhhN4lEHJjkp_MI6HfS2wQUO3UdP-CHsyYE0o1Is0US-cBnc8GXJxH7NTMGdxvg7lXvGAJHemYCN1trpnKCqrS-3mJA3Q/d2ZZHTUS4inKB5ujFcVbHhhxcAM7zCeOhdyeheaJ8Zg),ALP,Senator,Minister for Employment and Workplace Relations,,Senator,QLD,Watt,Senator the Hon,,,Murray Watt
"PO Box 6237, Halifax Street",Adelaide,,Adelaide,,,Penny,Female,,,,,,,,5000,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/s-K9_JMYfAEgj3ysc3qbVg/JEMlovqGh77GNlzkOQgX1uacnfioc2OHUC0o7oco3gSLclP2ECllNZO26eE-sZI2IBRejYXdD7agCDERfINdyVXSYVb7IuzeCXd_6QbgCWAybNqw9TQojKw9jquGFYwcl-GvDuW2SWRzd069IKDsrA/F0lTxtMgcDXr6SVsNIhPbA36UmPdSJkG2X2cL7Si0is),ALP,Senator,Minister for Foreign Affairs (Leader of the Government in the Senate),,Senator,SA,Wong,Senator the Hon,,,Penny Wong
